Date,Open,High,Low,Close
11/29/2024,"6,003.98","6,044.17","6,003.98","6,032.38"
11/27/2024,"6,014.11","6,020.16","5,984.87","5,998.74"
11/26/2024,"6,000.03","6,025.42","5,992.27","6,021.63"
11/25/2024,"5,992.28","6,020.75","5,963.91","5,987.37"
11/22/2024,"5,944.36","5,972.90","5,944.36","5,969.34"
11/21/2024,"5,940.58","5,963.32","5,887.26","5,948.71"
11/20/2024,"5,914.34","5,920.67","5,860.56","5,917.11"
11/19/2024,"5,870.05","5,923.51","5,855.29","5,916.98"
11/18/2024,"5,874.17","5,908.12","5,865.95","5,893.62"
11/15/2024,"5,912.79","5,915.32","5,853.01","5,870.62"
11/14/2024,"5,989.68","5,993.88","5,942.28","5,949.17"
11/13/2024,"5,985.75","6,008.19","5,965.91","5,985.38"
11/12/2024,"6,003.60","6,009.92","5,960.08","5,983.99"
11/11/2024,"6,008.86","6,017.31","5,986.69","6,001.35"
11/08/2024,"5,976.76","6,012.45","5,976.76","5,995.54"
11/07/2024,"5,947.21","5,983.84","5,947.21","5,973.10"
11/06/2024,"5,864.89","5,936.14","5,864.89","5,929.04"
11/05/2024,"5,722.43","5,783.44","5,722.10","5,782.76"
11/04/2024,"5,725.15","5,741.43","5,696.51","5,712.69"
11/01/2024,"5,723.22","5,772.52","5,723.22","5,728.80"
10/31/2024,"5,775.34","5,775.34","5,702.86","5,705.45"
10/30/2024,"5,832.65","5,850.94","5,811.28","5,813.67"
